prəˈlɪfɪk|prəˈlɪfɪk,prolific,a多产的;多结果的,adj. （艺术家、作家等）多产的； 众多的； 富饶的； （植物、动物等）丰硕的,prolific growth
ˈprəʊlɪks|ˈproʊlɪks,prolix,a啰嗦的;冗长的,adj. 好长篇大论的； 冗长的； 盈篇累牍；,a prolix speaker
prəʊ'lɪksətɪ|proʊ'lɪksətɪ,prolixity,n罗嗦,n. 冗长，罗嗦；,.
ˈprəʊlɒg|ˈproʊlɔg,prologue,n开场白|序幕,n. 序言，开场白；|vi. 作序言，作开场白；,preface;a prologue to the final abandonment of trams in London
prəˈlɒŋ|prəˈlɔŋ,prolong,v延长;拉长,vt. 延长，拉长； 拖延，延期；,prolong life
ˌprɒməˈnɑ:d|ˌprɑməˈneɪd,promenade,v/n散步|开车兜风,n. 散步，闲逛； 通道，走廊； 舞会； 骑马|vt.& vi. 漫步； 散步； 骑马；,promenade deck ;an evening promenade
ˈprɒmɪnənt|ˈprɑmɪnənt,prominent,a显著的|著名的,,play a prominent part in public life
prəˈməʊt|prəˈmoʊt,promote,v提升|促进,vt. 促进，推进； 提升，助长； 促销； 使（学生）升级|vi. 成为王后或其他大于卒的子；,.
prɒmpt|prɑmpt,prompt,v促使;激起|a敏捷的;迅速的,adj. 敏捷的； 迅速的； 立刻的； 准时的|v. 促使； 导致； 鼓励； 提示|n. 激励； 提示符； 提词； 提示|adv. 准时地；,a prompt reply
ˈprɒmlgeɪt|ˈprɑmlgeɪt,promulgate,v颁布(法令)|宣传,vt. 宣扬（某事物）； 传播； 公布； 颁布（法令、新法律等）,promulgate an idea
prəʊn|proʊn,prone,a俯卧的|倾向于…的,adj. 易于…的； 俯卧的； 有…倾向的； 倾斜的，坡陡的,prone position 卧倒的
prəˈnaʊnst|prəˈnaʊnst,pronounced,a强硬的;明显的,adj. 明显的，显著的； 决然的，断然的； 强硬的； 被说出来的|v. 发音，读(pronounce的过去式和过去分词)； 宣布，宣称； 断言；,This disability is more pronounced in men.
prɒp|prɑp,prop,n支撑物;靠山|v支持,n. 支柱，支撑物； 支持者，后盾，靠山； 道具； （橄榄球中的）支柱前锋|vt. 支撑，支持，维持； 使倚靠在某物上；,my children*** my props in old age.
ˈprɒpəgeɪt|ˈprɑpəgeɪt,propagate,v繁殖|传播,vt. 繁衍，增殖； 使遗传； 扩散； 使蔓延|vi. 繁殖； 扩大； [物] 通过媒介传送；,propagate plants from seeds propagate disease
ˌprɒpə'ɡeɪʃn|ˌprɑpəˈɡeʃən,propagation,n繁殖,n. 传播，传输，蔓延，扩展，波及深度； 〔生〕繁殖法，〔地〕传导； 宣传； 培养,Propagate your plants in fresh soil.
prəˈpel|prəˈpɛl,propel,v推进,vt. 推进； 推动； 驱动； 驱使,The film propelled her to stardom.
prəˈpelə(r)|prəˈpɛlɚ,propeller,n螺旋桨|推进器,n. 螺旋桨，推进器； =propellor；,.
prəˈpensəti|prəˈpɛnsɪti,propensity,n嗜好;习性,n. 倾向，习性，癖好，偏爱；,a propensity to do sth
ˈprɒfəsi|ˈprɑfəsi,prophecy,n预言,n. 预言； 预言能力； 预言书；,prophecyies of disaster
ˈprɒfɪt|ˈprɑfɪt,prophet,n先知;预言家,n. 预言家，先知； 倡导者，主张者；,the prophet Elijah
prəˈfetɪk|prəˈfɛtɪk,prophetic,a先知的;预言的;预示的,adj. 预言的，先知的； 先兆的；,Lundgren’s warnings proved prophetic .
prəˈpɪʃieɪt|proˈpɪʃiˌet,propitiate,v讨好|抚慰,vt. 劝解，抚慰，使息怒；,propitiate the gods with a sacrifice
prəˈpɪʃəs|prəˈpɪʃəs,propitious,a吉利的|顺利的,adj. 有利的； 吉祥的； 吉利的； 合适的,auspicious a propitious time
prəˈpəʊzl|prəˈpoʊzl,proposal,n提案;建议,n. 提议； 建议； 求婚； 〈美〉投标,.
ˌprɒpəˈzɪʃn|ˌprɑpəˈzɪʃn,proposition,n看法|提议,n. 命题； 建议； 主张；|v. 提议； 建议；,proposition that
prəˈpraɪətri|prəˈpraɪəteri,proprietary,a私有的,adj. 专有的，专利的； 所有（人）的； （商品）专卖的；|n. 所有权，所有物； 所有人； 专卖药品； 独家制造（及销售）的产品,proprietary software products
prəˈpraɪəti|prəˈpraɪɪti,propriety,n礼节|适当,n. <正>礼貌； 规矩； 正当； 合适,the propriety of sth
prəˈpʌlʃn|prəˈpʌlʃən,propulsion,n推进力,n. 推进； 推进力；,used for propulsion
prəˈzeɪɪk|proˈzeɪk,prosaic,a单调的;无趣的,adj. 散文的； 乏味的； 如实的；,prosaic writer a prosaic metaphor
prəˈskraɪb|proʊˈskraɪb,proscribe,v禁止,vt. 正式宣布（某事物）有危险或被禁止；,be proscribed by law
prəʊz|proʊz,prose,n散文,n. 散文； 单调，平凡； 枯燥无味的话，无聊的议论；|vt. 用散文写，把…改写成散文； 平淡无趣地写； 啰啰唆唆地讲；,a page of prose;a prose treatise
ˈprɒsɪkju:t|ˈprɑsɪkjut,prosecute,v告发;检举,v. 控告； 起诉； 继续从事； 担任控方律师,prosecute somebody for (doing) something
ˌprɒsɪˈkju:ʃn|ˌprɑsɪˈkjuʃn,prosecution,n起诉|实行;经营,n. 控告，起诉，检举； 原告及其律师的总称； 实施，实行，执行，贯彻，营业； 从事,in another prosecution
ˈprɒsələtaɪz|ˈprɑsələtaɪz,proselytize,v使…皈依,vt. （使）改变宗教信仰[政治信仰、意见等]，使变节；,try to proselytize someone
ˈprɒspekt|ˈprɑspekt,prospect,v勘探|n期望|前景,n. 前景； 期望； 眺望处； 景象|vi. 勘探； 勘察； （矿等）有希望； 有前途|vt. 找矿； 对…进行仔细调查；,The prospect is cheerful;prospect for ;market prospect
prɒˈsperəti|prɑˈsperəti,prosperity,n繁荣|幸运|健康,n. 繁荣； 兴旺，昌盛； 成功；,a time of economic prosperity
ˈprɒspərəs|ˈprɑspərəs,prosperous,a繁荣富强的,,a prosperous country
ˈprɒstreɪt|ˈprɑstreɪt,prostrate,a俯卧的|沮丧的|v使下跪鞠躬,adj. 卧倒的； 被某事物所制服的； 瓦解的； 无能为力的|vt. 使俯伏，使拜倒； （指疾病、天气等）使某人无能为力；,be prostrate with grief prostrate the thief prostrate oneself befor sb
prəˈtægənɪst|proˈtæɡənɪst,protagonist,n提议者;支持者,n. （戏剧的）主角； （故事的）主人公； 现实事件（尤指冲突和争端的）主要参与者； 领导者,antagonist
ˈprəʊtiən|ˈproʊtiən,protean,a变化多端的;多变的,adj. 多变的，易变的，变化多端的；,protean programs; protean talents
ˈprəʊtest|ˈproʊtest,protest,v/n抗议;反对,n. 抗议； 反对； 申明；,protest against
ˈprəʊtəkɒl|ˈproʊtəkɔl,protocol,n外交礼节|协议;草案,n. 礼仪； （外交条约的）草案； （数据传递的）协议； 科学实验报告（或计划）|vt. 把…写入议定书，在议定书中拟定（或颁布）；|vi. 拟定议定书，拟定草案；,.
ˈprəʊtətaɪp|ˈproʊtətaɪp,prototype,n原型|典型,n. 原型，雏形，蓝本；,the prototype for future school buildings
prə'trækt|proˈtrækt*** prə-,protract,v延长;拖长,vt. <贬>延长，拖延（某事物）；,protract the meeting;prolong
prəˈtju:bərəns|proʊˈtubərəns,protuberance,n凸出;隆起,n. 突起； 瘤，结节；,the protuberance on the top of its head.
prəˈtju:bərənt|proʊˈtubərənt,protuberant,a突出的;隆起的,adj. 隆起的； 凸出的； 显眼的； 显著的,protuberant breast
ˈprɒvənəns|ˈprɑvənəns,provenance,n(艺术等的)出处;起源,n. 起源，出处；,the provenance of a word
prɒvɪndə|ˈprɑvəndɚ,provender,n(牛马吃的)草料;粮秣,n. （家畜的）干饲料；,enough provender for the party
ˈprɒvɪdənt|ˈprɑvɪdənt,provident,a深谋远虑的|节俭的,adj. 有远见的，节俭的；,Provident Fund;Provident men lay aside money for their families;providence
ˌprɒvɪˈdenʃl|ˌprɑvɪˈdenʃl,providential,a幸运的|恰到好处的,adj. 凑巧的，幸运的；,the providential destiny
prəˈvɪnʃl|prəˈvɪnʃəl,provincial,a偏狭的;粗俗的,adj. 省的，州的； 领地的； 地方的，乡下的； 粗野的，鄙俗的|n. <贬>首都以外的人，地区居民； 外地人； 粗野的人； （管辖教区的）大主教,a provincial town ; a provincial election
prəˈvɪʒn|prəˈvɪʒən,provision,n(粮食)供应|条款,n. 规定，条项，条款； 预备，准备，设备； 供应，（一批）供应品； 生活物质，储备物资|vt.& vi. 为…提供所需物品（尤指食物）；,provision of meal
prəˈvɪʒənl|prəˈvɪʒənəl,provisional,a暂时的;临时的,adj. 暂时的，临时的； 暂定的；|n. 临时性； 临时人员；,a provisional driving licence ;a provisional contract;temporary;反义definitive
prə'vaɪzərɪ|prə'vaɪzərɪ,provisory,a有附带条件的,adj. 有附带条款的，附有条件的；,a provisory clause
,L31,,,
ˌprɒvəˈkeɪʃn|ˌprɑvəˈkeɪʃn,provocation,n挑衅;激怒,n. 挑衅，挑拨； 激怒，刺激； 愤怒； 愤怒的原因,He hit her after repeated provocations
ˈpraʊəs|ˈpraʊɪs,prowess,n勇敢|不凡的能力,n. 英勇； 高超技艺；,power;his physical prowess
praʊl|praʊl,prowl,v潜行于;偷偷地漫游,vi. 小心翼翼地移动； 徘徊；|vt. （动物）潜行（为捕猎等）； 潜行（图谋不轨等）； （因无聊、焦躁等）徘徊；|n. （动物）悄然潜行（以觅食）； 人)（人为抓捕或行窃等）悄悄巡行以寻找；,prowl about/around
ˈprɒksɪmət|ˈprɑksɪmət,proximate,a最接近的;直接的,adj. （时间、顺序等方面）近邻的，最接近的；,a proximate explanation
pru:d|prud,prude,n过分守礼的人,n. <贬>极端或过分拘谨的人，（尤指对性问题）大惊小怪的人；,prudish ;she's no prude
pru:dns|ˈprudəns,prudence,n谨慎;小心,n. 谨慎； 节俭； 精明；,financial prudence ;with prudence
ˈpru:dnt|ˈprudnt,prudent,a审慎的;三思而后行的;精明的,,it is prudent (for somebody) to do something
ˈpru:dɪʃ|'prudɪʃ,prudish,a过分守礼的;假道学的,adj. 过分拘谨的；|adv. 过分拘谨地；,prudish attitudes toward sex
pru:n|prun,prune,n梅干|v修剪,vi. 删除； 减少；|vt. 修剪（树木等）； 删除； 剪去； 精简某事物，除去某事物多余的部分|n. 西梅脯，西梅干； 深紫红色； 傻瓜； 〈美〉没趣的人，讨厌的人,prune a budget
praɪ|praɪ,pry,v刺探|撬开,vi. 窥探，打探；|vt. 撬开，撬动； 费力地得到；|n. 窥探； 撬杠； 爱打探的人；,spy pry into sth
ˈsu:dənɪm|ˈsudnˌɪm,pseudonym,n假名;笔名,n. 假名，化名，（尤指）笔名；,He wrote under the pseudonym ‘Silchester’.
ˈsaɪki|ˈsaɪki,psyche,n心智;精神,n. 灵魂，心灵； 心智，精神； [希腊神]塞姬（爱神丘比特所爱的美女）；,Freud’s account of the human psyche
saɪˈkɒlədʒi|saɪˈkɑlədʒi,psychology,n心理学;心理状态,n. 心理学； 心理特点； 心理状态； 心理影响,psychology*** science
ˈpʌblɪsaɪz|ˈpʌblɪˌsaɪz,publicize,v宣传;引人注意,v. 宣传； 推广； 宣扬； 传播,His visit was highly publicized.
ˈpʌkə(r)|ˈpʌkɚ,pucker,v起皱|n皱褶,vt.& vi. （使某物）起褶子或皱纹；|n. （衣服上的）皱纹，褶子；,pucker sth up
ˈpʌkɪʃ|ˈpʌkɪʃ,puckish,a淘气的,adj. 淘气的，恶作剧的；,puck 恶作剧的小妖精;with a puckish smile
ˈpʌdl|ˈpʌdl,puddle,n水坑;洼,n. 水坑； 胶土；|vt. 使泥泞； 把…做成胶土； 搅炼；|vi. 搅泥浆；,fall into a puddle
ˈpjʊəraɪl|ˈpjʊrəl,puerile,a幼稚的|儿童的,adj. <贬>幼稚的，孩子气的，愚蠢的；|adv. <贬>幼稚地，孩子气地；,puerile child
pju:dʒɪlɪzəm|ˈpjudʒəˌlɪzəm,pugilism,n拳击;搏击,n. 拳击；,.
ˈpju:dʒɪlɪst|ˈpjuːdʒɪlɪst,pugilist,n拳击手;拳师,n. 拳击运动员，职业拳师；,.
pʌgˈneɪʃəs|pʌɡˈneʃəs,pugnacious,a好斗的,adj. 好战的，好斗的，好挑衅的；,The professor had been pugnacious and irritable.
pwi:sɒ̃s,puissance,n权力,n. 力，权力，精神；,strength and puissance of;(Et:show horse jumping)
ˈpwi:sɔnt|'pjuːɪsənt,puissant,a强有力的;强大的,adj. <文>有力的； 强大的，有势力的；,Puissant interference of
ˈpʌlkrɪtju:d|ˈpʌlkrɪˌtud*** -ˌtjud,pulchritude,n美丽,n. 美丽，标致；,such incredible pulchritude
ˈpʊlɪt|ˈpʊlɪt,pullet,n小母鸡,n. （尤其指不到一年的）小母鸡；,.
ˈpʊli|ˈpʊli,pulley,n滑轮|滑车,n. 滑轮（组），滑车； 皮带轮；|v. 用滑轮升起，用滑车推动； 给…装滑车；,belt pulley
pʌlp|pʌlp,pulp,n果肉酱|纸浆,n. 纸浆，黏浆状物质； 果肉； 牙髓； [冶]矿浆|vt. 使…化成纸浆； 除去…的果肉； 取出（咖啡豆的）果肉；|vi. 变成纸浆； 成为浆状；|adj. <美俚>（杂志）低级趣味的；,apple pulp
pʌls|pʌls,pulse,v搏动;跳动n脉搏|脉冲,n. 脉搏； [无线电]（电磁波等）脉动； 活力； 有节奏的跳动（或拍打）|vi. （心脏）跳动； 脉动； 搏动； 震动|vt. 使跳动； 有节奏地驱动（机器等）； [电子学]施以脉冲； [无线电]脉冲地调节（电磁波）,check/feel somebody's pulse
ˈpʌlvəraɪz|ˈpʌlvəˌraɪz,pulverize,v压成细粉|彻底击败,vt. 将…弄碎； 将…弄成粉末或尘埃； 摧毁； 粉碎,pulverized coal;pulverized into flour.
pʌn|pʌn,pun,n双关语,n. 双关语； 俏皮话；|vi. 说双关语；|vt. 捣结实；,pun on sth quibble; no pun or joke being imposed
pʌntʃ|pʌntʃ,punch,v以拳猛击|打洞,vt. 用拳猛击； 打孔； （用压穿器）穿孔，冲孔； 用肘推|n. 冲压机，冲床； 打洞器； 钻孔机； 剪票铗|vi. 用拳猛击；,throw a punch
pʌŋkˈtɪliəs|pʌŋkˈtɪliəs,punctilious,a谨小慎微的,adj. 拘礼的； 拘谨的； 谨小慎微的； 拘泥形式的,a punctilious attention;prudent
ˈpʌŋktʃə(r)|ˈpʌŋktʃɚ,puncture,v刺穿;刺破n刺孔;穿孔,vt. 刺，戳； 贬低，削弱； 揭穿；|vi. （指轮胎等）被刺穿；|n. 刺痕； （车胎等的）刺孔；,One bullet punctured his lung.
ˈpʌndɪt|ˈpʌndɪt,pundit,n权威人士;专家,n. 有学问的人； 评论员；,political/media/TV etc pundits;savant
ˈpʌndʒənt|ˈpʌndʒənt,pungent,a味道刺激的|苛刻的,adj. 辛辣的； 刺激性的； 苦痛的； 尖刻的,the pungent odour of garlic
ˈpju:ni|ˈpjuni,puny,a弱小的;发育不良的,adj. 小于一般尺寸的； 微不足道的； 弱小的； 微弱的,puny things
ˈpɜ:tʃəs|ˈpɜrtʃəs,purchase,n支点(阻止东西下滑),v. 购买； 采购； 换得； 依靠机械力移动|n. 购买； 购买行为； 购置物； 紧握,purchase freedom with blood
ˈpɜ:gətɪv|ˈpɜrgətɪv,purgative,n泻药,adj. 净化的，清洗的； 通便的；|n. 泻剂；,purgative effect
ˈpɜ:gətri|ˈpɜrgətɔri,purgatory,n炼狱|受苦受难的地方,n. 炼狱； （在炼狱中的）涤罪； 暂时受苦的地方； 暂时的苦难|adj. 净化的，清洗的；,Sewing is relaxation for some*** purgatory for others.
pɜ:dʒ|pɜrdʒ,purge,v清洗;洗涤,vt. 清除，（使）净化； （使）通便； 肃清；|n. 净化； <医>泻药； 整肃；,purge of/from sin
ˈpjʊərɪfaɪ|ˈpjʊrɪfaɪ,purify,v使洁净;净化,vt. 使纯净，净化； 精炼； 使（语言）纯正； 给…赎罪，使纯洁,chemicals used to purify the water
ˈpjʊərəti|ˈpjʊrəti,purity,n纯洁;纯净|纯度,n. [化学]纯度； 纯洁，纯净； 清洁，清白，清廉； （语言）纯正,the purity of water
pɜ:lju:|ˈpɚlju*** ˈpɚlu,purlieu,n(常作复数)邻近地区,n. 郊区； 偏僻的地区； （人的）活动范围； 森林边缘空地,lieu;the purlieus of the new city
pɜ:ˈlɔɪn|pɜrˈlɔɪn,purloin,v偷窃,vt. 偷窃；,loin 腰 purloin sth
pəˈpɔ:tɪd|pərˈpɔrtɪd,purported,a谣传的;声张的;号称的,adj. 传说的，谣传的；|v. 声称是…，（装得）像是…的样子( purport的过去式和过去分词 )；,.
pəˈsju:|pərˈsu,pursue,v追赶;追求;追踪,vt. 继续； 追求； 进行； 追捕|vi. 追，追赶； 继续进行；,pursue the policies ;
pəˈveɪ|pərˈveɪ,purvey,v(大量)供给;供应,vt. <正>提供，供应；,purvey sth to sb perveyor
ˌpju:sɪˈlænɪməs|ˌpjusəˈlænəməs,pusillanimous,a胆小的,adj. 懦弱的，胆怯的；,cowardly ;Pusillanimous managers
ˈpaɪlən|ˈpaɪˌlɑn,pylon,n高压电线架|桥塔,n. （架高压输电线的）电缆塔；,steel deck and pylon
ˈpaɪə(r)|paɪr,pyre,n火葬用的柴堆,n. 大堆可燃物，（尤指火葬用的）柴堆；,byre tyre;a funeral pyre
kwæk|kwæk,quack,n冒充内行之人|庸医,n. <英>江湖医生； 江湖郎中； （鸭子的）呱呱声；|vi. （鸭子）发出嘎嘎声；,quack remedies
kwɒf|kwæf,quaff,v痛饮;畅饮,vt.& vi. <文>痛饮； 畅饮； 大口大口将…喝干； 一饮而尽,quaff beer
kweɪl|kwel,quail,v畏惧;颤抖,n. 鹌鹑； 鹌鹑肉； <美俚>女大学生；|vi. 沮丧； 畏缩，胆怯； 感到恐惧；|vt. 使沮丧； 使畏缩；,She quailed visibly at the sight of the prison walls.
kweɪnt|kwent,quaint,a离奇有趣的,adj. 古色古香的； 少见的，古怪的； 离奇有趣的，； 做得精巧的,a quaint little village in Yorkshire
ˈkwɒlɪfaɪd|ˈkwɑlɪfaɪd,qualified,a有资格的|有限制的,adj. 有资格的，胜任的，适当的，合格的； 过检定的，得到许可的； 有限制的，有条件的； （俚）十足的，无比的|vt. 描述，形容； 使合适； 授权予； 有权，达标|vi. 合格，成为合格； 取得…的资格；,qualified to do something
kwɑ:lms|kwɑlms,qualms,n疑虑,n. 不安，良心之谴责； 不安， （对某事是否正确感到的）疑虑( qualm的名词复数 )；,
ˈkwɒndəri|ˈkwɑndəri,quandary,n困惑;进退两难,n. 窘困； 不知所措； 左右为难；,in a quandary about;dilemma
ˈkwɒntəm|ˈkwɑntəm,quantum,n量子|定量,n. [物]量子； 定量，总量； 美国昆腾公司（世界领先的硬盘生产商）；,Quantum Theory;
ˈkwɒrənti:n|ˈkwɔrəntin,quarantine,n隔离检疫期;隔离,n. 检疫期，隔离期； 检疫所，隔离所； 四十天的时间；|vt. 对…进行检疫； 隔离；,out of quarantine
ˈkwɒri|ˈkwɔri,quarry,n猎物,n. 采石场； 猎物； 正方形，菱形； 来源|vt. 挖出； 努力挖掘；|vi. 费力地找；,a slate quarry ;Chalk is quarried from the surrounding area.
kwɔ:ˈtet|kwɔrˈtet,quartet,n四重奏;四重唱,n. 四重唱（奏）曲； 四重唱（奏）组； 四件一套；,duet a quartet of novels with a linking theme
kwɒʃ|kwɑʃ,quash,v镇压|取消,vt. [法]废除，使无效； 捣碎，压碎； 平息，镇压；,quash a rebellion quash a verdict
ˈkweɪvə(r)|ˈkwevɚ,quaver,v发颤音;颤抖|n颤音,vi. 颤抖，震动； 发颤音； （声音）发颤；|vt. 颤抖着说[唱]； 用颤音演奏；|n. 颤音； 颤声； [乐]八分音符；,‘No***’ he quavered.
ki:|ki,quay,n码头,n. 码头，埠头；,The vessel anchored alongside the quay
kwel|kwɛl,quell,v制止;镇压,vt. 压制，镇压； 减轻； 消除； 使镇定|n. <古>屠杀； 杀戮；,quell sb's fears
kwentʃ|kwɛntʃ,quench,v熄灭(火)|抑制(欲望),vt. 解（渴）； 终止（某事物）； （用水）扑灭（火焰等）； 将（热物体）放入水中急速冷却,quench sb's ardent passion
ˈkwerələs|ˈkwɛrələs*** ˈkwɛrjə-,querulous,a抱怨的;多牢骚的,adj. 抱怨的，爱发牢骚的； 易怒的； 爱抱怨；,in a querulous tone
kwest|kwɛst,quest,v搜寻;探求|n探求,n. 探索； 追求； 远征； 验尸陪审团|vt. 寻找； 探索；|vi. 进行探求； （猎犬等）跟踪搜寻；,in quest of something ; quest for
kju:|kju,queue,v排队|n长队,n. （人或车辆）行列，长队； 辫子；|vi. （人、车等）排队等候；|vt. （使）排队，列队等待；,.
ˈkwɪbl|ˈkwɪbəl,quibble,n遁词|吹毛求疵的反对意见,n. 吹毛求疵的反对意见或批评，遁词，模棱两可的话；|vi. 使用遁词，含糊其辞，吹毛求疵；,Let’s not quibble over minor details.
kwiˈesnt|kwiˈɛsənt*** kwaɪ-,quiescent,a不动的;静止的,adj. 不活动的，静态的； 休眠的；,remain quiescent
kwɪl|kwɪl,quill,n(豪猪等动物的)刺,n. （刺猬或豪猪的）刺； 羽毛管； <鸟>翮； <纺>纡管|vt. 给（织物或衣服）作皱褶； <纺>卷（纬线）； 使（豪猪等）长满刺； （豪猪等）用刺刺,bristle;quill pens
kwɜ:k|kwɜrk,quirk,n奇事|怪癖,n. 奇事，巧合； 怪癖； 突然的弯曲；,have strange quirk of doing sth
ˈkwɪzlɪŋ|ˈkwɪzlɪŋ,quisling,n卖国贼;内奸,n. 卖国贼，内奸；,quisle vi.卖国*** 叛国
ˈkwɪvə(r)|ˈkwɪvɚ,quiver,n箭筒;箭囊,vt.& vi. 微颤，抖动；|vt. 使震动；|n. 抖动； 颤音； 箭筒； 箭筒,quiver in the breeze
kwɪkˈsɒtɪk|kwɪkˈsɑtɪk,quixotic,a不切实际的;空想的,adj. 堂吉诃德式的，愚侠的，不切实际的；,quixotic project.
ˈkwəʊtə|ˈkwoʊtə,quota,n定额;配额,n. （正式限定的）定量，定额； 配额； 指标；,quota profit the quota of work
kwəʊt|kwoʊt,quote,v引用;引述,vt.& vi. 引述，引用；|vt. 报价； 引述；|vi. 引用；|n. 引用； 报价； 引号；,.
kwɒˈtɪdiən|kwoʊˈtɪdiən,quotidian,a每日的|平凡的,adj. 每日的； 每日发生的； 平凡的； 普通的,quotidian exercise
ˈræbl|ˈræbəl,rabble,n乌合之众|下等人,n. 乌合之众； 暴民； 下等人； 群氓,a rabble of angry youths
ˈræbɪd|ˈræbɪd,rabid,a患狂犬病的|失去理性的,adj. 患狂犬病的；  疯狂的； 狂暴的；  狂热的,the rabid terrorist
ˈreɪbi:z|ˈrebiz,rabies,n狂犬病|恐水病,n. [医]狂犬病； 恐水病；,rabid ;hydrophobia
ˌrækɒnˈtɜ:(r)|ˌrækɑnˈtɜ(r),raconteur,n善于讲故事的人,n. 善于讲轶事的人；,humorous raconteur
ˈreɪsi|ˈresi,racy,a活泼的;生动的,adj. （风格）活泼的； 味美的； 不雅的； 猥亵的,a racy wine;racy phrases
ˈreɪdiəs|ˈrediəs,radius,n半径,n. 半径（距离）； 用半径度量的圆形面积； 半径范围； 桡骨,within a 10-mile/200-metre etc radius
ˈræfɪʃ|ˈræfɪʃ,raffish,a粗俗的|俗艳的,adj. 声名狼藉的，放荡的； 俗艳的；,a raffish courtesan
ˈræfl|ˈræfəl,raffle,n抽奖售物(活动),n. 废物，垃圾； 抽彩出售；|vt. 以抽彩方式出售； 加入抽彩；|vi. 抽彩；,lottery; win a vidio in a raffle
ˈrɑ:ftə(r)|ˈræftə(r),rafter,n椽子,n. 椽； 筏夫；|vt. 装椽于；,The club was packed to the rafters (= very full ) .
ræg|ræɡ,rag,n旧布;碎布|破旧衣服,n. 破布； 碎布； 破旧衣服； 碎片|vt. 嘲笑，捉弄； 糟蹋，欺负； 指责，欺负人；,in rags ; from rags to riches
reɪdʒ|reɪdʒ,rage,n盛怒|v激怒,n. 愤怒； 激烈，猛烈； 渴望，疯狂； 〈口〉战争狂|vi. 大发脾气，动怒； 流行，风行；,red/dark/purple with rage ;He was sorry he had raged at her earlier.
ˈrægɪd|ˈræɡɪd,ragged,a破烂的,adj. 衣着破烂的，衣衫褴褛的； 参差不齐的，凹凸不平的； 粗糙刺耳的；,the ragged surface
ˈrægtaɪm|'ræɡtaɪm,ragtime,n拉格泰姆音乐|a使人发笑的;滑稽的,n. 雷格泰姆音乐；,jazz*** ragtime
reɪd|red,raid,n突然袭击,n. （骑兵队等的）急袭，突然袭击，突击，（军舰等的）游击； 劫掠，劫夺，（盗贼，狐等的）侵入； 突然查抄[搜捕]，围捕；|vi. 对…进行突然袭击； 进行奇袭；|vt. 突然袭击[抢劫]； 突然搜查； 劫掠； 打劫,launch/carry out/stage a raid ; they raided his home.
reɪl|rel,rail,n栏杆|铁轨|v咒骂;猛烈指责,n. 围栏； 轨道，钢轨； 扶手； [动]秧鸡|vi. 责备； 抱怨； 责骂；|vt. 将…围起来； 铺铁轨； 坐火车旅行； 用围栏围,rail against/at
ˈreɪzn|ˈrezɪn,raisin,n葡萄干,n. 葡萄干；,Sinkiang raisin grape葡萄
ˈreɪkɪʃ|ˈrekɪʃ,rakish,a潇洒的|放荡的,adj. 纵情酒色的； 放荡的； 潇洒的； 不拘俗套的,a rakish uniform
ˈræli|ˈræli,rally,v召集;集会|n召集|集会,vt. 召集，集合； 重整； 重振，恢复；|vi. 聚集； 集合； 反弹，反败为胜； 恢复（元气等）|n. 集合； 重新集合； 重整的信号； 反败为胜,an attempt to rally support for the party
ræm|ræm,ram,n公羊|撞锤;猛击|填塞,n. 公羊； <天>(R-)白羊（星）座； <机>夯； 攻城槌|vt. 夯实（土等）； 猛撞； 猛压； 反复灌输|vi. （使）猛烈撞击； 迅速移动； 迫使…明白；,I rammed my foot down on the brake.
ˈræmbl|ˈræmbəl,ramble,n/v漫步,vi. 漫游； 漫步； 漫谈； 蔓延|n. 漫步； 漫游； 漫谈；,ramble about/around ram 公羊
ræmˈbʌŋkʃəs|ræmˈbʌŋkʃəs,rambunctious,a骚乱的|(兴奋)控制不了的,adj. <美><口>粗暴的，喧闹的；,the rambunctious terroist
ræmɪfaɪ|ˈræməˌfaɪ,ramify,v分支;分叉,vt. 使分枝，使分叉；|vi. 成枝杈状；,ramify into labyrinth 迷路*** 迷宫*** 难解的事物;bifurcate
ˈræmpeɪdʒ|ˈræmˌpedʒ,rampage,v狂暴地乱冲|n暴怒,n. （因发怒等）暴跳，暴怒； 狂暴行为； 乱闹；|v. 暴跳，暴怒； 狂暴地乱冲；,go on the rampage;Drunken football fans rampaged through the streets.
ˈræmpənt|ˈræmpənt,rampant,a蔓生的;猖獗的,adj. 蔓延的； 猖獗的； （指动物）只用后腿站立的； （植物）疯长的,rampant inflation
ˈræmpɑ:t|ˈræmpɑrt,rampart,n壁垒|城墙,n. （城堡等周围宽阔的）防御土墙； 防御，保护；,a rampart against infection
ˈræmʃækl|ˈræmˌʃækəl,ramshackle,a摇摇欲坠的,adj. 要倒似的，要塌似的； 摇晃的； 没主意的； 放荡的,a ramshackle organization;rickety
ˈrænsɪd|'rænsɪd,rancid,a不新鲜的;变味的,adj. （指含有油脂食物）因变质而有陈腐味道或气味的，（指气味或味道）如陈腐脂肪味的；,rancid milk
ræŋkə|ˈræŋkɚ,rancor,n深仇;怨恨,n. 深仇，积怨，怨恨；,enmity;without rancour
ˈrændəm|ˈrændəm,random,a没有明确目的、计划或者目标的|偶然的,,.
ˈreɪndʒə(r)|ˈrendʒɚ,ranger,n森林管理员|巡逻骑警,n. 护林者； <美>突击队，（防守广大地域的）游击兵； 骑兵巡逻队； 游荡的人,a park ranger
